"rule","hh","pool","engines","mined_frames","n_flagged_train","precision_train","precision_train_lcb","dollars_per_flag_train","n_flagged_state","n_new_at_rank","rank","role"
"shelter_expenses_by_hh_size < 960.00 & unc_rawben_rel_max >=   1.96 & utilities >= 426.00 & utilities < 684.00","1","national","xgboost","any_error",106,0.4717,0.3631,72.68,1,1,34,"core"
"HH_size_n <=   2.5 & medical_deductions > 102.0 & shelter_expenses_by_hh_size > 852.0 & utilities <= 495.0","2-3","national","ranger","any_error",30,0.5667,0.3625,93.9,2,1,35,"core"
"months_since_cert_n >  2.500 & unc_rawben_rel_max >  0.459 & utilities > 29.500 & utilities <= 36.000","4+","national","ranger","any_error",41,0.5366,0.362,70.49,6,5,36,"core"
"elderly_disabled_i >=   0.50 & total_deductions_by_hh_size < 696.00 & unc_rawben_rel_max >=   1.81","1","national","xgboost","any_error",138,0.4565,0.3614,78.26,2,1,37,"core"
"medical_deductions >= 181.0000 & rawben_rel_max >=   0.3140 & unc_rawben_rel_max >=  -0.0271 & utilities < 726.0000","2-3","national","xgboost","any_error",144,0.4514,0.3584,70.95,4,2,38,"core"
"elderly_disabled_i >   0.500 & total_deductions_by_hh_size > 615.000 & unc_rawben_rel_max <=   0.997","2-3","national","ranger","any_error",189,0.4392,0.358,85.48,2,1,39,"core"
"expedited_i >   0.500 & rawben_rel_max <=   0.991 & total_deductions_by_hh_size > 987.000","1","national","ranger","any_error",86,0.4767,0.3566,81.98,2,1,40,"core"
"elderly_disabled_i >   0.5 & expedited_i <=   0.5 & total_deductions_by_hh_size > 539.0 & utilities <= 490.0","2-3","national","ranger","any_error",148,0.4459,0.3545,99.03,2,1,41,"core"
"medical_deductions >=   3.500 & medical_deductions <   7.500 & rawben_rel_max <   0.712 & shelter_expenses_by_hh_size >= 678.000","1","national","xgboost","any_error",58,0.5,0.354,35.05,3,2,42,"core"
"elderly_disabled_i >=   0.50 & total_deductions_by_hh_size < 765.00 & unc_rawben_rel_max >=   1.51 & utilities < 470.00","1","national","xgboost","any_error",335,0.4119,0.3513,73.91,2,1,43,"core"
"shelter_expenses_by_hh_size >= 425 & shelter_expenses_by_hh_size < 465 & total_deductions_by_hh_size >= 316","4+","national","xgboost","any_error",54,0.5,0.3491,98.65,2,1,44,"core"
"elderly_disabled_i >   0.5 & homeless >   0.5 & shelter_expenses_by_hh_size > 620.0 & utilities <= 428.0","1","national","ranger","any_error",47,0.5106,0.3489,75.87,1,1,45,"core"
"HH_size_n <=   5.5 & total_deductions_by_hh_size > 472.0 & utilities > 436.0","4+","national","ranger","any_error",59,0.4915,0.3473,128.75,2,1,46,"core"
"married >   0.500 & total_deductions_by_hh_size > 578.000 & unc_rawben_rel_max <=   0.996","2-3","national","ranger","any_error",182,0.4286,0.3465,81.72,2,1,47,"core"
"elderly_disabled_i >   0.5 & total_deductions_by_hh_size > 512.0 & unc_rawben_rel_max <=   1.0 & utilities <= 199.0","1","national","ranger","any_error",450,0.3978,0.3456,62.67,11,6,48,"core"
"months_since_cert_n <   11.50 & shelter_expenses_by_hh_size < 1800.00 & unc_rawben_rel_max >=    2.54 & utilities <  748.00","1","national","xgboost","any_error",96,0.4583,0.3454,88.03,6,5,49,"core"
